Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
21/12/2023,18:24:21,linea,0x0cf60bcf6cd66a50fede3b42486545540c3220eab0c8f71577ae46c2062cbc02,https://lineascan.build/tx/0x0cf60bcf6cd66a50fede3b42486545540c3220eab0c8f71577ae46c2062cbc02,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.01
19/12/2023,13:39:55,linea,0xcc09d8bf65adfb130868c8c155a9a13e4ba886e02e72ef5251280eace7fc75da,https://lineascan.build/tx/0xcc09d8bf65adfb130868c8c155a9a13e4ba886e02e72ef5251280eace7fc75da,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-17
16/12/2023,16:47:25,linea,0x10a5076192af749371d98763b0631f6f67e3b3f9e916cbdb6e265056acc1481b,https://lineascan.build/tx/0x10a5076192af749371d98763b0631f6f67e3b3f9e916cbdb6e265056acc1481b,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,17
13/12/2023,00:43:52,nova,0xe2cb454309ae4428c0bf7b294c8581de82e6addc0e9477f4aa58a5f1ebd306b2,https://nova.arbiscan.io/tx/0xe2cb454309ae4428c0bf7b294c8581de82e6addc0e9477f4aa58a5f1ebd306b2,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.001966787860084444
09/12/2023,13:00:49,linea,0x94a39d10c79bb69a502bb8b5f6e832182c9a66dc11f031690322891a5a416baf,https://lineascan.build/tx/0x94a39d10c79bb69a502bb8b5f6e832182c9a66dc11f031690322891a5a416baf,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,wstETH,-0.01130060441063343
25/08/2023,21:30:19,ftm,0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,https://ftmscan.com/tx/0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,MERK,0.1
14/08/2023,13:19:59,matic,0x37b10eb35889b23ad7fccc0274e64a4d8fa3a27294b21759a8a0337c7489b1a2,https://polygonscan.com/tx/0x37b10eb35889b23ad7fccc0274e64a4d8fa3a27294b21759a8a0337c7489b1a2,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-100
13/01/2023,03:46:46,op,0x35070b9761e94aa43038a3c6c0bb8ba01d73b972b9fea1f9a57477a51e8f6d1b,https://optimistic.etherscan.io/tx/0x35070b9761e94aa43038a3c6c0bb8ba01d73b972b9fea1f9a57477a51e8f6d1b,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,7000
04/01/2023,18:51:01,op,0x48b1e955e769ce30af9a44b63e30d8fcd184e13db2d4e4c2d6437bba90316933,https://optimistic.etherscan.io/tx/0x48b1e955e769ce30af9a44b63e30d8fcd184e13db2d4e4c2d6437bba90316933,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,0.001
01/01/2023,22:50:55,bsc,0x5d4b3bdd699e80c85e938a4a351ea143ad1763af1239bbbc7eef0fafe18235be,https://bscscan.com/tx/0x5d4b3bdd699e80c85e938a4a351ea143ad1763af1239bbbc7eef0fafe18235be,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,BNB,1.53
30/12/2022,07:00:11,eth,0x8662aed7e6c9c21b3f8bd3974fd28d0bb785ac117da7b18d6fd5f1b3f8c141b3,https://etherscan.io/tx/0x8662aed7e6c9c21b3f8bd3974fd28d0bb785ac117da7b18d6fd5f1b3f8c141b3,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,0.08
29/12/2022,23:21:59,bsc,0x06af4ec4444d1f869b17f095fb7f628b57f565191e75bebad1b28e7b326b1197,https://bscscan.com/tx/0x06af4ec4444d1f869b17f095fb7f628b57f565191e75bebad1b28e7b326b1197,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,BNB,0.01
18/12/2022,14:58:42,matic,0xbf29f136b5dd441d85cb83140489d979a8b27f80e017b3dd577e3c8789fe4e6d,https://polygonscan.com/tx/0xbf29f136b5dd441d85cb83140489d979a8b27f80e017b3dd577e3c8789fe4e6d,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,MATIC,-4.25250222
21/08/2023,03:50:03,celo,0x8ffcf933e61048562d227149fb34cf97131d0a1e14d96879e368ae788a79fca1,https://celoscan.io/tx/0x8ffcf933e61048562d227149fb34cf97131d0a1e14d96879e368ae788a79fca1,send,0x05eb8a2e940df49b71aefaaefc0ff317135eaa58,CELO,-0.15
