Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
21/02/2024,17:00:09,matic,0x95271defa8a5c38afe23f018178e518ed2547c5c6a272d9a702df14227a46635,https://polygonscan.com/tx/0x95271defa8a5c38afe23f018178e518ed2547c5c6a272d9a702df14227a46635,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-9.867016
19/12/2023,13:49:43,linea,0x0b3e27ad914d639cbae4974c80bb6e3965efb405e309a5e84c6da0e030b19d48,https://lineascan.build/tx/0x0b3e27ad914d639cbae4974c80bb6e3965efb405e309a5e84c6da0e030b19d48,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-17
16/12/2023,16:06:25,linea,0x3348beda5e604cbdf8bcc68e1ed69d6460bc79346f82a691e4f233032532bfa8,https://lineascan.build/tx/0x3348beda5e604cbdf8bcc68e1ed69d6460bc79346f82a691e4f233032532bfa8,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,17
13/12/2023,00:48:50,nova,0xe31eb237dc2e8c8d39cd5ff60f050c056e18f750e85a64ffe482ddbea103a6cc,https://nova.arbiscan.io/tx/0xe31eb237dc2e8c8d39cd5ff60f050c056e18f750e85a64ffe482ddbea103a6cc,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.003972768210755574
25/08/2023,21:32:30,ftm,0x5f04b12587e91cde430fcffacc06116bffc817ccd864144e99b3d4979764cef3,https://ftmscan.com/tx/0x5f04b12587e91cde430fcffacc06116bffc817ccd864144e99b3d4979764cef3,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,MERK,0.1
14/08/2023,13:25:15,matic,0x810f4f9f0bebc5210bdcdebfa55a6d1f2a5aa553ffb6c17abbd95161a6785a33,https://polygonscan.com/tx/0x810f4f9f0bebc5210bdcdebfa55a6d1f2a5aa553ffb6c17abbd95161a6785a33,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-100
13/01/2023,04:38:51,op,0x1767573dff1be509cc4def5daf52f87de2a29e2558717aaa7f5fd723a15b4692,https://optimistic.etherscan.io/tx/0x1767573dff1be509cc4def5daf52f87de2a29e2558717aaa7f5fd723a15b4692,receive,0x1b695ab947d8e42f6871992e485990420bd307a9,USDC,140
08/01/2023,21:11:26,arb,0xbb160612ddd8df3208c374fce1f10e9bcb0aeb68058e5b7b8c4cc4d29dfcd350,https://arbiscan.io/tx/0xbb160612ddd8df3208c374fce1f10e9bcb0aeb68058e5b7b8c4cc4d29dfcd350,receive,0x1b695ab947d8e42f6871992e485990420bd307a9,USDC,105
08/01/2023,20:15:55,arb,0xe013e73b4ccef0ea14d34797415ae0be9b8467745f93c251887b42592ebdddad,https://arbiscan.io/tx/0xe013e73b4ccef0ea14d34797415ae0be9b8467745f93c251887b42592ebdddad,receive,0x1b695ab947d8e42f6871992e485990420bd307a9,ETH,0.0022
08/01/2023,02:22:24,op,0xb1d106e47fe398bed4f4baa5b7f1a765abc184098ce9bf785712a332028cd232,https://optimistic.etherscan.io/tx/0xb1d106e47fe398bed4f4baa5b7f1a765abc184098ce9bf785712a332028cd232,receive,0x1b695ab947d8e42f6871992e485990420bd307a9,ETH,0.021
22/09/2021,22:52:50,matic,0xee97df346e2ea087a373e495ff698d87dfd9943a01d038bde3988a8b6e9d5c32,https://polygonscan.com/tx/0xee97df346e2ea087a373e495ff698d87dfd9943a01d038bde3988a8b6e9d5c32,receive,0x1b695ab947d8e42f6871992e485990420bd307a9,MATIC,1500
20/09/2021,00:55:27,matic,0xa89256000f3ac7904574148622e63c42f5e2e9567adda1015930441a7e9b4dfe,https://polygonscan.com/tx/0xa89256000f3ac7904574148622e63c42f5e2e9567adda1015930441a7e9b4dfe,receive,0x1b695ab947d8e42f6871992e485990420bd307a9,MATIC,1000
05/09/2021,23:03:01,matic,0x31d4073bd526ed3a94af2ec8efb3c2c40c2dfae3d1108fbe5aca74086ead5964,https://polygonscan.com/tx/0x31d4073bd526ed3a94af2ec8efb3c2c40c2dfae3d1108fbe5aca74086ead5964,receive,0x1b695ab947d8e42f6871992e485990420bd307a9,MATIC,3500
