Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
30/01/2023,10:38:11,eth,0x8fee361de6aafb116806bd13cb52f31855c77c5e818ebd7c006a6081f2eae0cd,https://etherscan.io/tx/0x8fee361de6aafb116806bd13cb52f31855c77c5e818ebd7c006a6081f2eae0cd,receive,0x04d24342c8b8a7310d9119d891c44b867187f033,ETH,0.001817405044224
21/02/2024,16:52:21,matic,0x5a5816be296a38a91a34b5e5d2f6ce8f3cd8f4b6f4bd6038fe04dee2e7fc9808,https://polygonscan.com/tx/0x5a5816be296a38a91a34b5e5d2f6ce8f3cd8f4b6f4bd6038fe04dee2e7fc9808,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-2.364163
21/12/2023,18:24:21,linea,0x2085da0a3865acdbdf2ea0ba59fab3147911fc7c8f727d3f3d997777abf0f507,https://lineascan.build/tx/0x2085da0a3865acdbdf2ea0ba59fab3147911fc7c8f727d3f3d997777abf0f507,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.01
19/12/2023,13:39:55,linea,0x00823d92d7c11e8d5a9f4a7ab52cca0b3a849bb9c15d9059236cb096b7bf2ed7,https://lineascan.build/tx/0x00823d92d7c11e8d5a9f4a7ab52cca0b3a849bb9c15d9059236cb096b7bf2ed7,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-17
16/12/2023,16:47:25,linea,0x10a5076192af749371d98763b0631f6f67e3b3f9e916cbdb6e265056acc1481b,https://lineascan.build/tx/0x10a5076192af749371d98763b0631f6f67e3b3f9e916cbdb6e265056acc1481b,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,17
13/12/2023,00:43:52,nova,0x887ff6a5a351450274919f208c519dc88dd08efba9aac53d25d58d86f1e25f8a,https://nova.arbiscan.io/tx/0x887ff6a5a351450274919f208c519dc88dd08efba9aac53d25d58d86f1e25f8a,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.001970627308280175
09/12/2023,13:00:49,linea,0xdc6ef7838d8f6eed91f9680fe419892fac7d06a90d276e538826da4bb3338f62,https://lineascan.build/tx/0xdc6ef7838d8f6eed91f9680fe419892fac7d06a90d276e538826da4bb3338f62,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,wstETH,-0.01130060441063343
25/08/2023,21:30:19,ftm,0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,https://ftmscan.com/tx/0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,MERK,0.1
14/08/2023,13:19:59,matic,0x02f653f5987ec589d55b789508a5dee3356b12e5cd67733e64d218b3b22139fa,https://polygonscan.com/tx/0x02f653f5987ec589d55b789508a5dee3356b12e5cd67733e64d218b3b22139fa,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-100
22/11/2023,05:23:55,op,0xfaaff3f443bbf4a2f40575752e37f82e7a4d0dc571b540e72dfc0294a8be0b62,https://optimistic.etherscan.io/tx/0xfaaff3f443bbf4a2f40575752e37f82e7a4d0dc571b540e72dfc0294a8be0b62,receive,0x0c317e4441eb07fd0aa8b8615986cc9f6c972905,ETH,0.5543
21/08/2023,03:47:38,celo,0x9cfbfc30912f2381a6ce0aad9d1c8ea7d2539d7a97e2901f54a098961985f63d,https://celoscan.io/tx/0x9cfbfc30912f2381a6ce0aad9d1c8ea7d2539d7a97e2901f54a098961985f63d,send,0x0ce3032cd329a90e3ffdf8b866f4d29fce246b8c,CELO,-0.15
21/08/2023,02:09:55,xdai,0x7f98342a4fed8bb273c8f5f9c6ab5d67a61725b555581b9987215663f0b6a80c,https://gnosisscan.io/tx/0x7f98342a4fed8bb273c8f5f9c6ab5d67a61725b555581b9987215663f0b6a80c,send,0x0ce3032cd329a90e3ffdf8b866f4d29fce246b8c,xDai,-0.07
23/02/2023,22:10:57,matic,0x50407d29b5744262849f6dd1c089e1576d43c2cc43492bf390c96dc12b533df6,https://polygonscan.com/tx/0x50407d29b5744262849f6dd1c089e1576d43c2cc43492bf390c96dc12b533df6,receive,0x275ba8c9a72bcf66762284e75a1f73cc63f63e79,CLGM,1
23/02/2023,22:33:07,matic,0x09dbec7e58221f7dcae636d5ac57ca60d05ccec2046b03427d686a9213616f68,https://polygonscan.com/tx/0x09dbec7e58221f7dcae636d5ac57ca60d05ccec2046b03427d686a9213616f68,send,0x2f0e84ccbc5e2c8dc37c23c28e06088910402dd6,CLGM,-1
21/08/2023,03:48:38,celo,0xa7a8fb9efe62d4c71ac90c02feffc9dc23ae0d8ed12c98eb712ccb2daa2b49e5,https://celoscan.io/tx/0xa7a8fb9efe62d4c71ac90c02feffc9dc23ae0d8ed12c98eb712ccb2daa2b49e5,send,0x44e9815e59f278b6320952c44e59347d73161954,CELO,-0.15
